"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Santiago Chávez","MIA","63","209","193","31","5","0","3","12","9","13","73","2","1","0","",".161",".221",".233",".454",".204","","0.1","1.6","","-19.2","5.4","-0.7","sa657706"
"Errol Robinson","","80","297","266","54","10","0","3","30","17","28","88","2","6","3","",".203",".283",".274",".557",".252","","-0.3","-0.7","","-19.3","2.6","-0.7","sa857819"
"Nate Fassnacht","","71","274","245","43","8","2","6","31","22","27","106","2","4","2","",".176",".263",".298",".561",".252","","-0.2","-0.5","","-16.5","0.5","-0.7","sa3010594"
"Chase Murray","PIT","32","122","117","25","3","0","2","10","7","4","37","0","3","1","",".214",".238",".291",".528",".230","","0.1","-0.7","","-9.0","-2.0","-0.7","sa1115500"
"Devin Foyle","OAK","96","389","349","68","13","3","9","43","36","31","111","4","6","3","",".195",".266",".327",".593",".261","","-0.3","0.3","","-16.3","-4.0","-0.7","sa3007515"
"Nicolas Torres","PHI","103","397","369","88","12","2","8","55","36","25","95","1","8","2","",".238",".288",".347",".635",".278","","0.4","-7.2","","-14.5","-5.7","-0.7","sa3002711"
"Luis Alejandro Basabe","","94","375","338","70","14","2","6","37","27","34","123","1","6","5","",".207",".281",".314",".594",".264","","-1.2","-0.8","","-20.1","0.6","-0.7","sa736924"
"Ronnie Dawson","CIN","97","415","369","78","18","1","11","53","39","36","125","6","10","6","",".211",".291",".355",".646",".283","","-0.8","-5.8","","-16.6","-4.3","-0.7","19710"
"Nick Dunn","STL","96","378","347","75","15","1","4","41","29","23","68","3","2","2","",".216",".269",".300",".568",".252","","-0.7","-0.4","","-20.6","1.0","-0.7","sa915613"
"Galli Cribbs Jr.","","65","216","197","33","5","3","2","17","12","13","80","4","2","1","",".168",".233",".254",".486",".219","","-0.2","0.7","","-17.4","3.1","-0.7","sa708444"
"Arden Pabst","","61","221","210","36","8","1","6","18","21","8","77","1","0","1","",".171",".205",".305",".509",".217","","-0.5","0.8","","-19.4","4.9","-0.7","sa858812"
"Joel Booker","CHW","75","291","269","52","9","1","5","26","21","12","94","5","10","3","",".193",".240",".290",".530",".233","","0.6","1.0","","-19.1","2.1","-0.7","sa918497"
"Matt Adams","","86","243","225","48","9","0","11","26","36","16","71","2","0","0","",".213",".272",".400",".672",".286","","-0.2","0.5","","-11.3","-4.0","-0.7","9393"
"Josh Reddick","","92","331","307","71","11","1","6","32","29","20","57","0","2","1","",".231",".276",".332",".608",".264","","-0.3","-1.2","","-13.3","-4.8","-0.7","3892"
"Cam Devanney","MIL","80","316","281","52","10","1","6","36","25","24","93","6","3","3","",".185",".261",".292",".553",".248","","-0.9","1.9","","-20.7","3.1","-0.7","sa1170010"
"Gabe Matthews","LAA","47","204","181","30","7","0","6","25","20","19","62","4","1","0","",".166",".260",".304",".564",".251","","0.1","0.6","","-11.0","-3.1","-0.7","sa3016920"
"Cullen Large","TOR","108","434","390","89","20","3","8","48","35","32","116","5","2","3","",".228",".292",".356",".649",".284","","-1.2","-2.4","","-14.8","-7.2","-0.7","sa3003959"
"JT Riddle","","88","317","294","58","12","1","6","36","26","14","58","5","3","2","",".197",".244",".306",".551",".240","","-0.4","-1.1","","-20.5","2.4","-0.7","17642"
"Colton Shaver","HOU","88","349","305","53","12","1","15","39","41","36","139","7","0","1","",".174",".275",".367",".642",".282","","-0.7","-3.3","","-9.5","-9.7","-0.7","sa915847"
"Jonathan Engelmann","CLE","74","281","253","49","10","1","7","30","23","22","87","4","3","2","",".194",".268",".324",".592",".262","","-0.4","1.4","","-13.1","-3.8","-0.7","sa3006858"
"Dillon Paulson","TBR","95","408","356","63","18","2","10","44","40","48","144","1","1","1","",".177",".275",".323",".598",".264","","-0.5","1.9","","-15.6","-5.6","-0.7","sa3007007"
"Cam Balego","CHC","82","333","291","59","12","1","7","35","28","31","78","8","1","2","",".203",".295",".323",".618",".277","","-0.9","1.3","","-13.6","-4.8","-0.7","sa3004517"
"Marcus Wilson","SEA","103","424","374","68","14","2","13","48","35","44","174","3","8","3","",".182",".272",".334",".606",".268","","0.0","-2.7","","-14.4","-7.4","-0.7","sa828703"
"Josue Huma","CHC","95","353","325","66","12","2","5","44","28","23","78","3","5","1","",".203",".261",".298",".560",".248","","0.3","1.1","","-21.5","2.4","-0.7","sa3003379"
"Caleb Hamilton","MIN","81","299","266","45","11","1","7","31","27","29","104","1","3","2","",".169",".252",".297",".549",".245","","-0.4","-4.9","","-18.2","0.6","-0.7","sa738961"
"Alexander Canario","CHC","105","443","412","84","14","1","22","45","53","25","131","1","10","4","",".204",".249",".403",".652",".278","","0.1","-7.2","","-16.7","-5.6","-0.8","sa3003316"
"Tyler Krieger","","63","230","214","43","8","1","3","20","14","12","66","2","4","3","",".201",".249",".290",".539",".238","","-0.6","-0.7","","-15.6","0.1","-0.8","sa658994"
"Jeren Kendall","LAD","76","318","289","46","8","3","12","32","36","25","143","2","10","5","",".159",".230",".332",".562",".244","","-0.3","0.2","","-19.5","1.4","-0.8","sa829529"
"Sherman Johnson","","68","240","208","38","8","2","3","28","16","28","64","3","2","2","",".183",".289",".284",".572",".262","","-0.6","1.0","","-12.2","-3.4","-0.8","13906"
"Jeisson Rosario","BOS","107","442","393","87","17","2","7","60","36","42","118","3","8","4","",".221",".300",".328",".628",".280","","-0.4","-8.1","","-16.2","-6.5","-0.8","sa3004146"
"Miguel Cabrera","DET","105","422","386","94","11","0","11","35","52","27","87","3","0","0","",".244",".294",".358",".651",".283","","-0.3","-2.3","","-12.1","-10.1","-0.8","1744"
"Casey Martin","PHI","101","438","407","79","15","1","11","53","43","25","122","4","9","3","",".194",".247",".317",".564",".247","","0.3","0.1","","-27.3","4.9","-0.8","sa3014524"
"Todd Frazier","","102","388","349","77","14","1","10","40","46","29","77","9","2","2","",".221",".296",".352",".649",".286","","-0.7","-1.8","","-11.8","-8.9","-0.8","785"
"Yusniel Diaz","BAL","74","306","277","55","11","2","8","32","30","24","95","3","2","3","",".199",".269",".339",".608",".267","","-1.1","-0.8","","-14.2","-4.2","-0.8","sa912848"
"Freudis Nova","HOU","83","322","302","59","12","1","5","28","18","19","101","1","7","2","",".195",".245",".291",".537",".237","","0.4","-2.7","","-19.8","0.8","-0.8","sa3003195"
"Shayne Fontana","BAL","87","354","316","63","11","3","10","38","28","32","92","3","4","2","",".199",".278",".348",".626",".275","","-0.3","-3.0","","-13.2","-6.9","-0.8","sa3010897"
"Chris Chinea","","63","226","212","46","9","0","5","22","18","11","58","2","0","1","",".217",".261",".330",".591",".256","","-0.6","0.1","","-11.6","-4.1","-0.8","sa827344"
"J.D. Orr","MIA","71","272","246","54","8","2","2","20","10","24","61","2","11","5","",".220",".294",".293",".587",".265","","-0.1","-2.7","","-11.4","-5.7","-0.8","sa3009875"
"Travis Snider","","68","227","201","40","9","1","4","24","18","23","69","1","2","1","",".199",".283",".313",".597",".265","","-0.2","0.0","","-11.5","-4.2","-0.8","2830"
"Jared Young","CHC","95","385","353","81","15","2","8","42","38","24","90","4","3","1","",".229",".284",".351",".635",".276","","-0.1","1.2","","-15.0","-5.9","-0.8","sa3004937"
"Tate Matheny","","81","295","273","57","13","1","7","30","27","18","98","2","6","3","",".209",".262",".341",".603",".263","","-0.2","-0.1","","-14.9","-3.4","-0.8","sa658567"
"Christopher Proctor","DET","56","206","191","33","6","0","1","16","10","12","65","0","2","0","",".173",".220",".220",".439",".198","","0.3","0.9","","-19.9","4.7","-0.8","sa3007062"
"Reivaj Garcia","CHC","54","180","174","36","5","0","2","15","9","6","59","0","2","0","",".207",".233",".270",".503",".221","","0.3","-0.1","","-14.9","0.6","-0.8","sa3006900"
"Nick Longhi","","90","310","283","65","15","2","7","36","31","22","88","3","0","0","",".230",".291",".371",".662",".287","","-0.2","-1.1","","-14.1","-4.5","-0.8","sa738434"
"Nick Podkul","TOR","74","281","250","48","11","1","6","30","23","26","76","3","4","1","",".192",".275",".316",".591",".262","","0.2","0.9","","-13.7","-4.3","-0.8","sa3006720"
"Greyson Jenista","ATL","102","383","340","66","12","2","15","37","40","37","146","2","4","3","",".194",".275",".374",".648",".282","","-0.7","0.3","","-14.4","-6.7","-0.8","sa3007044"
"Bradlee Beesley","CHC","55","214","199","36","8","1","7","22","24","11","69","2","7","1","",".181",".230",".337",".567",".245","","0.9","-0.2","","-13.0","-2.6","-0.9","sa3015097"
"Franklin Labour","SFG","95","379","332","61","12","2","11","46","36","40","128","4","5","3","",".184",".279",".331",".610",".271","","-0.5","-2.1","","-14.7","-6.3","-0.9","sa916848"
"Drew Butera","","67","225","201","32","7","1","3","16","14","15","67","4","2","0","",".159",".230",".249",".478",".216","","0.3","-1.8","","-18.5","2.3","-0.9","3411"
"Ryan Casteel","ATL","90","299","275","55","11","1","11","30","34","20","92","2","0","0","",".200",".258",".367",".626",".271","","-0.2","0.6","","-13.6","-4.9","-0.9","sa549286"
"Dom Thompson-Williams","SEA","83","327","304","56","13","1","10","31","32","18","127","3","5","2","",".184",".235",".332",".568",".245","","0.0","1.4","","-17.5","-2.2","-0.9","sa829483"
"Connor Justus","","92","339","302","55","12","0","5","33","22","29","99","5","3","3","",".182",".263",".272",".535",".243","","-0.9","0.4","","-21.8","1.6","-0.9","sa873634"
"Devin Hairston","MIA","91","325","298","51","9","1","4","27","19","23","114","1","3","1","",".171",".232",".248",".481",".216","","0.0","3.6","","-26.6","7.2","-0.9","sa915575"
"Francisco Peña","","89","349","316","66","13","0","10","36","36","19","77","4","1","0","",".209",".259",".345",".604",".259","","0.0","0.8","","-14.9","-5.6","-0.9","8298"
"Matt Winaker","NYM","77","296","258","48","9","3","5","29","20","27","80","8","2","2","",".186",".281",".302",".584",".262","","-0.7","0.0","","-13.0","-5.4","-0.9","sa3004506"
"Scott Hurst","STL","85","319","289","52","11","1","4","27","18","25","109","1","3","2","",".180",".246",".266",".512",".230","","-0.5","2.6","","-23.0","3.8","-0.9","20501"
"LJ Hatch","COL","51","159","145","29","5","1","2","17","11","10","49","2","1","2","",".200",".259",".290",".549",".244","","-0.8","-1.0","","-13.5","-0.4","-0.9","sa3005233"
"David Bañuelos","MIN","53","187","177","29","6","1","2","13","11","7","78","1","1","1","",".164",".199",".243",".442",".194","","-0.3","0.7","","-19.2","4.1","-0.9","sa3004056"
"Jeremy Eierman","OAK","93","391","362","62","13","2","11","34","34","22","148","4","6","3","",".171",".226",".309",".535",".234","","-0.3","1.8","","-25.2","3.2","-0.9","sa3007005"
"Evan Alexander","NYY","60","196","178","30","5","1","4","15","11","16","69","2","4","2","",".169",".245",".275",".520",".234","","-0.2","0.1","","-13.3","-2.1","-0.9","sa918444"
"Agustin Ruiz","SDP","112","482","440","95","18","2","18","56","58","33","137","4","2","1","",".216",".275",".389",".664",".286","","-0.3","-7.2","","-12.1","-12.5","-0.9","sa3004149"
"Dermis Garcia","","103","415","375","66","12","0","18","37","50","33","171","2","6","2","",".176",".245",".352",".597",".259","","0.1","2.4","","-17.7","-5.2","-0.9","sa881025"
"Corey Bird","","90","312","283","61","11","2","5","28","20","25","70","2","9","2","",".216",".283",".322",".605",".267","","0.7","-3.9","","-11.8","-7.3","-0.9","sa874209"
"Jay Schuyler","CIN","81","306","278","53","8","1","4","29","21","22","88","3","2","3","",".191",".256",".270",".526",".235","","-1.1","0.3","","-25.0","5.9","-0.9","sa3006662"
"Cesar Izturis Jr.","SEA","99","396","374","80","15","0","5","45","29","16","89","2","4","2","",".214",".249",".294",".543",".238","","-0.3","-0.2","","-23.6","1.3","-0.9","sa3002847"
"Cornelius Randolph","","82","305","277","58","10","1","8","32","29","26","101","1","5","2","",".209",".279",".339",".618",".272","","-0.1","-2.7","","-13.0","-6.1","-0.9","sa874241"
"LJ Talley","TOR","82","332","302","64","13","1","8","41","32","24","80","1","2","0","",".212",".270",".341",".611",".267","","0.2","0.8","","-15.0","-5.3","-0.9","sa1169773"
"Anderson Tejeda","STL","82","324","302","51","11","1","9","27","28","20","139","1","8","3","",".169",".222",".301",".524",".229","","0.2","-0.4","","-23.0","3.2","-0.9","19909"
"Tristen Lutz","MIL","83","345","315","69","12","1","9","38","31","23","119","4","2","3","",".219",".279",".349",".628",".275","","-1.1","-1.8","","-14.9","-5.6","-0.9","sa3004968"
"Matt McLaughlin","COL","91","357","324","74","14","1","4","34","22","26","82","4","3","5","",".228",".293",".315",".608",".271","","-1.8","0.4","","-22.6","1.7","-0.9","sa915706"
"Chase Pinder","STL","75","296","259","48","5","0","6","25","16","29","98","4","1","2","",".185",".276",".274",".551",".250","","-0.9","1.2","","-16.9","-2.1","-0.9","sa3003961"
"Sean Bouchard","COL","90","377","345","78","20","1","11","38","36","26","112","3","5","3","",".226",".285",".386",".670",".290","","-0.5","-0.9","","-16.6","-5.1","-0.9","sa915652"
"Zack Kone","","65","243","224","39","7","1","3","21","14","18","88","1","2","1","",".174",".239",".254",".493",".222","","-0.2","0.7","","-18.8","1.6","-0.9","sa3008293"
"Diosbel Arias","TEX","110","451","413","99","19","2","5","52","35","31","98","2","2","2","",".240",".294",".332",".626",".276","","-0.8","-0.8","","-15.4","-9.1","-0.9","sa3005308"
"Tyler Keenan","SEA","74","302","265","45","10","0","6","29","21","22","126","4","0","1","",".170",".240",".275",".515",".230","","-0.6","-0.1","","-20.5","1.0","-0.9","sa3014497"
"Jake Anchia","SEA","79","317","293","50","8","0","12","30","34","16","112","4","0","0","",".171",".222",".321",".543",".235","","-0.2","-6.0","","-19.9","-0.2","-0.9","sa3006674"
"Bobby Honeyman","SEA","96","394","366","82","14","1","5","42","29","21","70","4","2","1","",".224",".272",".309",".581",".257","","-0.3","2.1","","-17.5","-5.1","-0.9","sa3006645"
"Eric De La Rosa","DET","94","365","334","67","14","2","6","36","26","20","123","9","12","4","",".201",".264",".308",".572",".254","","0.5","-4.6","","-18.5","-3.3","-0.9","sa3006911"
"Jameson Fisher","CHW","94","388","350","75","15","1","8","38","33","30","109","3","2","1","",".214",".280",".331",".611",".269","","-0.3","-0.4","","-15.0","-7.5","-0.9","sa658576"
"Ernie De La Trinidad","MIN","86","336","304","65","9","2","7","37","29","21","90","7","2","2","",".214",".278",".326",".603",".266","","-0.7","-2.5","","-14.6","-6.2","-0.9","sa3003955"
"Ian Desmond","COL","115","415","382","92","21","5","13","50","50","27","94","3","5","3","",".241",".295",".424",".719",".307","","-0.5","-6.2","","-12.4","-10.8","-1.0","6885"
"Miguel Hernandez","CIN","107","422","397","93","17","1","4","52","29","19","87","1","4","2","",".234",".270",".312",".582",".255","","-0.4","-2.0","","-26.1","2.7","-1.0","sa917055"
"Matt Pita","NYY","69","236","215","39","9","1","5","22","19","14","71","5","7","3","",".181",".247",".302",".549",".243","","0.0","-0.9","","-14.1","-3.5","-1.0","sa3008146"
"Logan Wyatt","SFG","81","327","283","59","8","0","3","47","18","41","68","2","1","2","",".208",".312",".269",".580",".269","","-1.0","-0.5","","-13.9","-6.5","-1.0","sa3011259"
"Scott Burcham","","58","173","159","31","6","0","3","15","11","11","51","1","2","1","",".195",".250",".289",".539",".237","","-0.1","-0.8","","-15.2","-0.2","-1.0","sa875782"
"Nick Banks","WSN","99","387","359","77","17","1","8","41","36","23","111","3","2","2","",".214",".267",".334",".601",".262","","-0.7","2.3","","-20.5","-2.0","-1.0","sa873982"
"Franklin Torres","","76","311","286","59","11","1","4","30","20","23","90","1","1","0","",".206",".267",".294",".561",".248","","0.0","-8.3","","-17.7","-2.6","-1.0","sa830300"
"Heath Quinn","SFG","65","258","237","46","9","1","7","24","24","17","94","2","1","1","",".194",".252",".329",".581",".254","","-0.4","-1.7","","-13.8","-4.5","-1.0","sa737904"
"Jeremy Vasquez","NYM","109","433","386","83","17","2","7","45","37","38","105","3","1","2","",".215",".288",".324",".612",".270","","-1.0","-0.2","","-16.0","-8.2","-1.0","sa915673"
"Taylor Snyder","COL","107","426","389","85","18","2","16","44","47","28","130","3","7","2","",".219",".274",".398",".672",".288","","0.3","-0.7","","-18.5","-5.4","-1.0","sa738930"
"Matt Gorski","PIT","87","363","334","64","15","0","6","40","30","22","121","2","9","1","",".192",".244",".290",".534",".236","","1.2","1.0","","-24.2","2.3","-1.0","sa3010399"
"Delvin Zinn","CHC","99","403","371","75","10","1","4","37","23","21","95","4","20","6","",".202",".251",".267",".517",".231","","1.2","1.8","","-29.6","6.2","-1.0","sa875884"
"Davis Bradshaw","MIA","72","266","248","55","8","2","2","29","17","11","56","4","4","3","",".222",".265",".294",".560",".246","","-0.7","0.0","","-15.9","-2.9","-1.0","sa3007031"
"Riley Mahan","MIA","94","363","332","62","13","1","7","31","26","23","131","4","1","1","",".187",".247",".295",".542",".239","","-0.4","0.0","","-23.4","1.3","-1.0","sa829844"
"Justin Twine","","85","308","284","53","8","3","4","26","21","13","106","5","7","2","",".187",".233",".278",".511",".224","","0.4","1.5","","-23.0","2.6","-1.0","sa828686"
"Kevin Merrell","","90","343","318","62","12","3","4","29","23","19","96","2","8","2","",".195",".243",".289",".533",".233","","0.5","0.0","","-23.1","1.3","-1.0","sa915707"
